sensor_value,timestamp_hour,rolling_mean_1h,z_score,is_anomaly,zone_id
41.63,5.0,41.63,0.0,False,0
53.35,5.08,47.49,0.707,False,0
46.38,5.17,47.12,-0.126,False,0
51.58,5.25,48.23,0.631,False,0
52.52,5.33,49.09,0.688,False,0
47.78,5.42,48.87,-0.244,False,0
47.67,5.5,48.7,-0.249,False,0
49.36,5.58,48.78,0.152,False,0
51.46,5.67,49.08,0.647,False,0
43.44,5.75,48.52,-1.301,False,0
47.71,5.83,48.44,-0.197,False,0
46.61,5.92,48.29,-0.47,False,0
47.0,6.0,48.74,-0.589,False,0
55.52,6.08,48.92,1.997,False,0
46.26,6.17,48.91,-0.799,False,0
47.87,6.25,48.6,-0.228,False,0
46.34,6.33,48.09,-0.58,False,0
48.22,6.42,48.12,0.031,False,0
42.89,6.5,47.72,-1.432,False,0
48.44,6.58,47.65,0.236,False,0
50.91,6.67,47.6,1.006,False,0
48.79,6.75,48.05,0.247,False,0
50.35,6.83,48.27,0.674,False,0
48.94,6.92,48.46,0.156,False,0
49.06,7.0,48.63,0.143,False,0
49.8,7.08,48.16,0.756,False,0
50.84,7.17,48.54,1.042,False,0
49.29,7.25,48.66,0.289,False,0
46.47,7.33,48.67,-0.999,False,0
55.85,7.42,49.3,2.175,False,0
46.17,7.5,49.58,-1.377,False,0
49.1,7.58,49.63,-0.215,False,0
46.42,7.67,49.26,-1.1,False,0
45.78,7.75,49.01,-1.164,False,0
47.89,7.83,48.8,-0.333,False,0
42.82,7.92,48.29,-1.686,False,0
308.13,8.0,69.88,3.172,True,0
46.7,8.08,69.62,-0.305,False,0
158.91,8.17,78.63,1.015,True,0
45.89,8.25,78.34,-0.41,False,0
45.38,8.33,78.25,-0.415,False,0
35.34,8.42,76.54,-0.515,False,0
44.1,8.5,76.37,-0.403,False,0
43.64,8.58,75.92,-0.402,False,0
40.28,8.67,75.41,-0.436,False,0
40.51,8.75,74.97,-0.427,False,0
50.65,8.83,75.2,-0.305,False,0
42.28,8.92,75.15,-0.408,False,0
39.8,9.0,52.79,-0.386,False,0
43.63,9.08,52.53,-0.264,False,0
46.21,9.17,43.14,0.786,False,0
42.85,9.25,42.89,-0.009,False,0
46.36,9.33,42.97,0.875,False,0
48.93,9.42,44.1,1.42,False,0
42.97,9.5,44.01,-0.305,False,0
41.46,9.58,43.83,-0.677,False,0
50.23,9.67,44.66,1.488,False,0
46.42,9.75,45.15,0.36,False,0
45.86,9.83,44.75,0.358,False,0
39.38,9.92,44.51,-1.506,False,0
40.56,10.0,44.57,-1.208,False,0
46.79,10.08,44.84,0.58,False,0
35.22,10.17,43.92,-2.016,False,0
47.07,10.25,44.27,0.637,False,0
43.37,10.33,44.02,-0.15,False,0
37.4,10.42,43.06,-1.275,False,0
35.53,10.5,42.44,-1.398,False,0
43.19,10.58,42.59,0.123,False,0
45.24,10.67,42.17,0.696,False,0
37.08,10.75,41.39,-0.975,False,0
43.22,10.83,41.17,0.484,False,0
323.73,10.92,64.87,3.171,True,0
40.52,11.0,64.86,-0.298,False,0
39.88,11.08,64.29,-0.298,False,0
44.16,11.17,65.03,-0.256,False,0
37.3,11.25,64.22,-0.329,False,0
34.44,11.33,63.48,-0.354,False,0
38.59,11.42,63.57,-0.305,False,0
45.02,11.5,64.37,-0.237,False,0
38.64,11.58,63.99,-0.31,False,0
49.25,11.67,64.32,-0.184,False,0
38.19,11.75,64.41,-0.321,False,0
37.71,11.83,63.95,-0.32,False,0
43.49,11.92,40.6,0.701,False,0
46.19,12.0,41.07,1.156,False,0
40.42,12.08,41.12,-0.159,False,0
47.7,12.17,41.41,1.326,False,0
40.65,12.25,41.69,-0.228,False,0
40.47,12.33,42.19,-0.432,False,0
40.02,12.42,42.31,-0.586,False,0
43.12,12.5,42.15,0.253,False,0
42.2,12.58,42.45,-0.069,False,0
43.7,12.67,41.99,0.569,False,0
38.83,12.75,42.04,-1.091,False,0
39.34,12.83,42.18,-1.027,False,0
37.73,12.92,41.7,-1.322,False,0
36.07,13.0,40.85,-1.57,False,0
40.38,13.08,40.85,-0.154,False,0
47.18,13.17,40.81,2.165,False,0
40.95,13.25,40.83,0.04,False,0
41.25,13.33,40.9,0.12,False,0
46.12,13.42,41.41,1.435,False,0
38.57,13.5,41.03,-0.737,False,0
38.0,13.58,40.68,-0.782,False,0
43.06,13.67,40.62,0.724,False,0
41.11,13.75,40.81,0.088,False,0
36.09,13.83,40.54,-1.246,False,0
42.59,13.92,40.95,0.469,False,0
42.0,14.0,41.44,0.178,False,0
39.67,14.08,41.38,-0.538,False,0
39.82,14.17,40.77,-0.361,False,0
37.49,14.25,40.48,-1.074,False,0
34.37,14.33,39.91,-1.688,False,0
45.48,14.42,39.86,1.774,False,0
41.0,14.5,40.06,0.297,False,0
43.54,14.58,40.52,0.933,False,0
43.49,14.67,40.55,0.899,False,0
39.71,14.75,40.44,-0.223,False,0
27.1,14.83,39.69,-2.541,False,0
30.89,14.92,38.71,-1.434,False,0
35.16,15.0,38.14,-0.548,False,0
46.22,15.08,38.69,1.274,False,0
42.11,15.17,38.88,0.539,False,0
40.04,15.25,39.09,0.159,False,0
43.49,15.33,39.85,0.615,False,0
42.92,15.42,39.64,0.573,False,0
38.3,15.5,39.42,-0.194,False,0
42.23,15.58,39.31,0.518,False,0
44.33,15.67,39.38,0.868,False,0
44.9,15.75,39.81,0.858,False,0
37.41,15.83,40.67,-0.725,False,0
36.71,15.92,41.15,-1.248,False,0
43.57,16.0,41.85,0.56,False,0
49.3,16.08,42.11,2.021,False,0
33.84,16.17,41.42,-1.769,False,0
37.94,16.25,41.25,-0.754,False,0
48.01,16.33,41.62,1.337,False,0
46.72,16.42,41.94,0.958,False,0
44.36,16.5,42.44,0.391,False,0
39.18,16.58,42.19,-0.603,False,0
49.6,16.67,42.63,1.289,False,0
42.55,16.75,42.43,0.023,False,0
39.9,16.83,42.64,-0.528,False,0
47.94,16.92,43.58,0.868,False,0
42.05,17.0,43.45,-0.277,False,0
44.04,17.08,43.01,0.217,False,0
42.26,17.17,43.71,-0.386,False,0
45.52,17.25,44.34,0.356,False,0
40.26,17.33,43.7,-1.047,False,0
45.63,17.42,43.61,0.63,False,0
41.47,17.5,43.37,-0.584,False,0
47.66,17.58,44.07,1.128,False,0
38.12,17.67,43.12,-1.615,False,0
42.33,17.75,43.1,-0.249,False,0
43.39,17.83,43.39,0.002,False,0
46.05,17.92,43.23,1.042,False,0
41.14,18.0,43.15,-0.73,False,0
39.33,18.08,42.76,-1.164,False,0
42.65,18.17,42.8,-0.049,False,0
0.96,18.25,39.08,-3.091,True,0
36.74,18.33,38.79,-0.166,False,0
46.51,18.42,38.86,0.617,False,0
41.73,18.5,38.89,0.23,False,0
40.29,18.58,38.27,0.167,False,0
42.79,18.67,38.66,0.339,False,0
42.85,18.75,38.7,0.34,False,0
42.47,18.83,38.63,0.316,False,0
42.12,18.92,38.3,0.319,False,0
38.61,19.0,38.09,0.043,False,0
41.6,19.08,38.28,0.277,False,0
39.33,19.17,38.0,0.112,False,0
41.17,19.25,41.35,-0.073,False,0
45.29,19.33,42.06,1.441,False,0
42.22,19.42,41.71,0.294,False,0
36.78,19.5,41.29,-1.998,False,0
40.14,19.58,41.28,-0.502,False,0
45.33,19.67,41.49,1.521,False,0
43.51,19.75,41.55,0.763,False,0
39.81,19.83,41.33,-0.584,False,0
29.67,19.92,40.29,-2.515,False,0
44.71,20.0,40.8,0.896,False,0
47.11,20.08,41.26,1.235,False,0
42.26,20.17,41.5,0.162,False,0
161.01,20.25,51.49,3.146,True,0
49.4,20.33,51.83,-0.07,False,0
41.13,20.42,51.74,-0.305,False,0
44.42,20.5,52.38,-0.23,False,0
36.3,20.58,52.06,-0.454,False,0
44.02,20.67,51.95,-0.228,False,0
48.57,20.75,52.37,-0.11,False,0
41.9,20.83,52.54,-0.308,False,0
38.06,20.92,53.24,-0.444,False,0
46.35,21.0,53.38,-0.206,False,0
47.39,21.08,53.4,-0.176,False,0
44.93,21.17,53.62,-0.255,False,0
190.17,21.25,56.05,3.161,True,0
1.38,21.33,52.05,-1.119,True,0
45.67,21.42,52.43,-0.15,False,0
44.92,21.5,52.47,-0.167,False,0
43.05,21.58,53.03,-0.222,False,0
46.81,21.67,53.27,-0.144,False,0
40.81,21.75,52.62,-0.262,False,0
49.77,21.83,53.27,-0.078,False,0
43.03,21.92,53.69,-0.238,False,0
43.38,22.0,53.44,-0.224,False,0
42.66,22.08,53.05,-0.231,False,0
48.13,22.17,53.32,-0.115,False,0
51.6,22.25,41.77,0.75,False,0
47.92,22.33,45.65,0.697,False,0
43.43,22.42,45.46,-0.611,False,0
41.89,22.5,45.21,-0.954,False,0
48.58,22.58,45.67,0.823,False,0
41.85,22.67,45.26,-0.926,False,0
48.0,22.75,45.85,0.621,False,0
45.6,22.83,45.51,0.028,False,0
44.81,22.92,45.66,-0.267,False,0
51.19,23.0,46.31,1.423,False,0
48.04,23.08,46.75,0.393,False,0
45.99,23.17,46.58,-0.18,False,0
49.09,23.25,46.37,0.925,False,0
42.36,13.0,42.36,0.0,False,1
57.76,13.08,50.06,0.707,False,1
57.56,13.17,52.56,0.566,False,1
59.86,13.25,54.39,0.677,False,1
