timestamp,location,pm25,pm10,co,no2,temperature,humidity,wind_speed,temperature_inversion,aqi,aqi_category,is_anomaly
2025-04-21 03:57:24.601906,Jalan_Raya_Timur,14.82,29.03,1.625,28.91,22.6,100.0,1.25,0,56,Sedang,0
2025-04-21 04:57:24.601906,Taman_Selatan,337.1,500.0,3.423,15.66,23.5,76.8,1.58,0,325,Berbahaya,1
2025-04-21 05:57:24.601906,Perumahan_Utara,122.71,232.87,0.799,56.83,25.2,73.3,1.78,0,185,Tidak Sehat,0
2025-04-21 06:57:24.601906,Taman_Selatan,23.14,41.84,1.229,13.45,18.7,60.5,2.18,0,74,Sedang,0
2025-04-21 07:57:24.601906,Taman_Selatan,69.26,128.77,1.899,80.1,24.3,76.2,1.98,0,157,Tidak Sehat,0
2025-04-21 08:57:24.601906,Industri_Barat,59.31,98.51,2.267,57.55,21.0,40.8,1.41,0,152,Tidak Sehat,0
2025-04-21 09:57:24.601906,Perumahan_Utara,42.75,81.01,2.017,45.5,23.0,72.2,0.87,0,118,Tidak Sehat untuk Sensitif,0
2025-04-21 10:57:24.601906,Perumahan_Utara,64.74,134.45,0.958,12.06,22.6,53.6,0.94,0,155,Tidak Sehat,0
2025-04-21 11:57:24.601906,Perumahan_Utara,126.58,229.06,1.552,47.37,35.1,53.8,0.8,1,187,Tidak Sehat,1
2025-04-21 12:57:24.601906,Taman_Selatan,313.63,477.84,2.698,29.59,20.9,78.9,3.02,1,309,Berbahaya,1
2025-04-21 13:57:24.601906,Jalan_Raya_Timur,78.37,115.89,0.865,30.51,28.4,66.3,1.27,0,162,Tidak Sehat,0
2025-04-21 14:57:24.601906,Perumahan_Utara,81.52,143.77,1.208,53.08,30.1,58.0,0.22,0,164,Tidak Sehat,0
2025-04-21 15:57:24.601906,Taman_Selatan,17.86,39.42,0.821,36.64,27.0,100.0,0.67,0,63,Sedang,0
2025-04-21 16:57:24.601906,Industri_Barat,100.34,145.04,1.642,51.63,31.6,59.7,0.42,0,174,Tidak Sehat,0
2025-04-21 17:57:24.601906,Jalan_Raya_Timur,94.48,131.7,2.592,58.71,25.5,68.2,0.18,0,171,Tidak Sehat,0
2025-04-21 18:57:24.601906,Industri_Barat,30.11,64.91,1.395,75.37,28.7,50.3,0.75,0,89,Sedang,0
2025-04-21 19:57:24.601906,Jalan_Raya_Timur,63.7,109.49,2.788,52.56,27.6,67.6,0.08,0,154,Tidak Sehat,0
2025-04-21 20:57:24.601906,Taman_Selatan,5.0,10.09,1.806,41.58,25.4,81.9,0.87,0,21,Baik,0
2025-04-21 21:57:24.601906,Pusat_Kota,73.44,146.07,0.565,51.26,30.9,75.1,0.02,0,159,Tidak Sehat,0
2025-04-21 22:57:24.601906,Jalan_Raya_Timur,97.94,193.86,1.316,29.7,27.7,65.1,1.93,1,172,Tidak Sehat,1
2025-04-21 23:57:24.601906,Industri_Barat,85.22,145.89,1.371,30.81,27.1,98.3,0.86,0,166,Tidak Sehat,0
2025-04-22 00:57:24.601906,Taman_Selatan,77.37,127.46,1.266,44.99,21.6,53.4,0.01,1,162,Tidak Sehat,1
2025-04-22 01:57:24.601906,Jalan_Raya_Timur,59.96,106.09,1.141,41.97,26.2,74.3,3.37,0,152,Tidak Sehat,0
2025-04-22 02:57:24.601906,Pusat_Kota,70.02,148.07,1.003,59.8,27.2,83.5,0.19,0,158,Tidak Sehat,0
2025-04-22 03:57:24.601906,Pusat_Kota,42.28,62.3,0.814,30.26,35.0,76.5,1.06,1,117,Tidak Sehat untuk Sensitif,1
2025-04-22 04:57:24.601906,Perumahan_Utara,10.59,32.85,0.972,32.93,25.3,84.7,0.03,1,44,Baik,1
2025-04-22 05:57:24.601906,Perumahan_Utara,19.39,42.33,1.822,35.46,32.3,67.2,3.86,0,66,Sedang,0
2025-04-22 06:57:24.601906,Industri_Barat,37.77,84.11,1.99,21.83,27.5,90.0,0.61,0,106,Tidak Sehat untuk Sensitif,0
2025-04-22 07:57:24.601906,Jalan_Raya_Timur,34.24,57.18,1.006,55.26,23.0,70.5,2.52,0,98,Sedang,0
2025-04-22 08:57:24.601906,Jalan_Raya_Timur,54.83,102.6,2.018,73.47,34.4,75.7,0.4,0,149,Tidak Sehat untuk Sensitif,0
2025-04-22 09:57:24.601906,Perumahan_Utara,107.26,160.95,2.033,46.08,28.5,55.1,6.21,0,177,Tidak Sehat,0
2025-04-22 10:57:24.601906,Jalan_Raya_Timur,46.63,99.77,1.332,45.89,24.1,78.8,3.4,0,128,Tidak Sehat untuk Sensitif,0
2025-04-22 11:57:24.601906,Jalan_Raya_Timur,60.73,98.54,1.03,37.96,31.3,56.0,0.12,0,153,Tidak Sehat,0
