activity_intensity,mask_type,pm25,pm10,co,no2,rmv_liters_per_min,duration_minutes,mask_efficiency,hour,temperature,humidity,wind_speed,inversion_factor,cumulative_toxic_load_score,pm25_retained_micrograms,co_blood_saturation_estimate
high_intensity_run,none,83.56,147.01,2.93,104.44,57.92,18.5,0.0,21.96,23.93,86.39,1.11,0.719,76.22,89.48,0.3
moderate_run,cloth,20.03,26.22,3.6,63.32,38.92,28.7,0.3,14.22,31.59,55.02,5.97,0.108,38.25,15.67,0.41
high_intensity_run,none,44.41,62.2,1.91,86.51,55.16,17.1,0.0,17.57,28.37,58.01,5.09,0.211,52.72,41.77,0.2
moderate_run,medical,49.75,67.46,5.31,34.8,36.5,68.9,0.6,19.64,25.22,73.99,4.16,0.387,55.73,50.06,0.51
resting,n95,135.26,235.0,8.89,26.09,6.25,27.7,0.95,3.43,21.95,82.85,1.46,0.925,3.0,1.17,0.02
high_intensity_run,cloth,105.29,199.4,3.63,48.52,48.4,45.6,0.3,3.2,20.8,85.79,1.85,0.907,87.66,162.82,0.47
high_intensity_run,none,36.94,54.32,5.06,200.0,57.86,122.7,0.0,18.26,28.85,65.5,3.37,0.334,98.66,262.21,3.27
high_intensity_run,cloth,31.94,37.4,2.64,33.86,53.51,34.4,0.3,17.22,30.58,53.56,5.02,0.198,46.36,41.2,0.27
light_jog,n95,40.44,50.25,2.7,10.61,21.26,57.4,0.95,13.15,29.51,55.18,7.44,0.062,0.96,2.47,0.03
moderate_run,medical,31.58,41.71,5.5,200.0,39.8,18.7,0.6,0.67,19.97,88.08,1.79,0.856,37.61,9.41,0.03
moderate_run,none,27.91,38.74,4.17,48.33,36.0,75.2,0.0,19.88,25.83,71.78,2.71,0.478,84.81,75.58,0.9
high_intensity_run,cloth,29.45,52.02,3.22,20.74,62.31,35.1,0.3,13.35,33.09,59.45,6.02,0.127,54.75,45.12,0.39
moderate_run,cloth,9.99,22.02,1.02,18.06,38.15,77.1,0.3,17.07,28.4,59.33,4.61,0.213,36.96,20.56,0.12
high_intensity_run,cloth,35.71,72.92,1.75,59.61,58.0,30.0,0.3,1.59,21.3,88.4,0.76,0.942,52.67,43.55,0.22
moderate_run,none,36.19,47.9,0.9,60.5,43.48,47.8,0.0,10.33,31.59,53.71,6.13,0.291,69.94,75.21,0.12
light_jog,n95,213.34,310.75,1.06,53.87,23.09,42.9,0.95,17.54,27.54,60.02,5.58,0.185,8.19,10.58,0.05
moderate_run,none,44.87,69.02,5.83,96.01,40.24,10.0,0.0,3.41,20.42,84.87,0.26,0.985,40.86,18.06,0.16
resting,none,96.27,174.65,3.24,22.43,7.31,31.6,0.0,4.01,21.41,85.06,0.88,0.945,20.27,22.21,0.24
high_intensity_run,none,53.48,77.2,2.51,25.33,55.51,42.0,0.0,23.43,22.36,82.18,1.55,0.801,77.13,124.8,0.51
moderate_run,medical,66.11,135.01,11.92,43.5,41.16,39.4,0.6,20.41,22.75,73.91,3.07,0.501,61.67,42.89,0.74
high_intensity_run,cloth,19.85,20.57,6.19,66.45,49.15,19.8,0.3,15.08,32.17,48.76,6.09,0.096,42.23,13.55,0.33
moderate_run,none,15.42,30.32,0.89,26.55,41.77,25.4,0.0,14.84,31.59,53.29,5.47,0.127,26.27,16.33,0.05
high_intensity_run,cloth,146.65,266.98,2.24,13.77,52.86,46.0,0.3,4.2,20.63,80.93,1.18,0.926,90.43,249.53,0.38
high_intensity_run,medical,19.14,35.51,1.5,61.95,56.54,19.6,0.6,11.86,33.56,47.57,5.14,0.239,19.09,8.47,0.06
high_intensity_run,none,143.07,253.34,3.99,9.49,59.05,60.9,0.0,6.64,23.64,74.93,2.41,0.754,97.81,514.58,1.37
light_jog,n95,49.35,97.95,1.61,38.77,26.34,29.4,0.95,0.32,21.11,88.14,1.66,0.846,0.0,1.91,0.09
moderate_run,cloth,30.69,59.85,2.08,69.54,41.12,25.6,0.3,20.46,25.13,69.06,3.38,0.489,45.28,22.65,0.31
resting,none,43.8,63.24,5.19,79.82,7.36,21.6,0.0,23.0,22.05,83.28,1.31,0.785,13.14,6.98,0.13
